starting slam
[INFO] [1746827972.088807]: [run_auto] Mapping - drive the vehicle, Ctrl-C when done …
act:  [3.867157040432432, 1.8731762929937688, -5.427]
est:  [3.841173280661109, 0.16110858670272216, 0.7186733410735976]
act:  [3.8968833293103793, 1.8607929271530605, -5.404999999999999]
est:  [3.841173280661109, 0.16110858670272216, 0.7279999031067974]
act:  [3.9061614377790987, 1.8570624173698436, -5.397]
est:  [3.8472338855045995, 0.16655870226027325, 0.732411224443764]
act:  [3.911655619304239, 1.8557155805687398, -5.3919999999999995]
est:  [3.8472338855045995, 0.16655870226027325, 0.7366963671119089]
act:  [3.913547582776028, 1.854523744077683, -5.391]
est:  [3.849650712523209, 0.16875399326753354, 0.7374015881587783]
act:  [3.9162946735385984, 1.8538503256771306, -5.3870000000000005]
est:  [3.8571796082319434, 0.1756496804340746, 0.741528452821704]
act:  [3.9288382908603925, 1.8485912702025815, -5.377]
est:  [3.8592974933527695, 0.17764549401010643, 0.7557324679110047]
act:  [3.95117843474141, 1.838746577654034, -5.356999999999999]
est:  [3.8592974933527695, 0.17764549401010643, 0.7706495140217725]
act:  [3.9778209236565116, 1.825663084832593, -5.335]
est:  [3.8592974933527695, 0.17764549401010643, 0.7949646499683298]
act:  [3.98813586830624, 1.8202223204678147, -5.327999999999999]
est:  [3.8628522639047738, 0.18126700673572227, 0.79469827695141]
act:  [3.9848703594531654, 1.8217508661591473, -5.3309999999999995]
est:  [3.8799589856169865, 0.19866486183146131, 0.7938354926439958]
act:  [3.985725486743946, 1.8222692842496517, -5.3309999999999995]
est:  [3.88947914078029, 0.20843885873652718, 0.7985538126568705]
act:  [3.996895558684455, 1.817346937975378, -5.321]
est:  [3.892509819869931, 0.21162819044776338, 0.8108994420571419]
act:  [4.022501211418547, 1.8059736997354983, -5.305]
est:  [3.8963168811142412, 0.21577049498704287, 0.8275455210452055]
act:  [4.044841355299565, 1.7961290071869511, -5.29]
est:  [3.910488877250813, 0.23165800439283724, 0.8424068987423406]
act:  [4.084727588517193, 1.7747026589281139, -5.2669999999999995]
est:  [3.9335547560049293, 0.258979104674547, 0.8696490687313845]
act:  [4.1447252929437735, 1.7432499092305016, -5.243]
est:  [3.9653922799296066, 0.2982347767537357, 0.8893659264194581]
act:  [4.219858705144671, 1.7022624676044362, -5.221]
est:  [4.010595365444335, 0.35606165402241213, 0.9073159328437242]
act:  [4.302041553142222, 1.6573628073049256, -5.199]
est:  [4.053223925301376, 0.4138211899856156, 0.9349968906796364]
act:  [4.397986563532804, 1.6032651642772384, -5.170999999999999]
est:  [4.1865870714730615, 0.6020639738249447, 0.9544127006995415]
act:  [4.488437392398246, 1.5505143580506555, -5.159]
est:  [4.222305695296556, 0.6555659330103338, 0.9821385924783845]
act:  [4.566162895051666, 1.5052512799706874, -5.149]
est:  [4.265489740694176, 0.7177005159020116, 0.9634284177765066]
act:  [4.6490458700299495, 1.4572678197083309, -5.1370000000000005]
est:  [4.316323988448635, 0.7918292769370328, 0.9696941529097507]
act:  [4.745017589000713, 1.3973392859552276, -5.133]
est:  [4.427342922151858, 0.9526139426041246, 0.9664868178058746]
act:  [4.820696127872296, 1.349665826312966, -5.138]
est:  [4.482269410718446, 1.0307857327144918, 0.9583019291435395]
act:  [4.907544738684387, 1.2970700203964305, -5.143]
est:  [4.510821018577799, 1.070301959882181, 0.9451099048112365]
act:  [4.972726624016013, 1.2570659977910124, -5.147]
est:  [4.525591304100533, 1.0894484992101585, 0.913718180909277]
act:  [5.033606164313555, 1.220300775458488, -5.149]
est:  [4.570503696493516, 1.1473622322622241, 0.9111708031926722]
act:  [5.113405339328993, 1.1716171882153983, -5.138999999999999]
est:  [4.600462526813135, 1.1873999464735572, 0.9284063814148196]
act:  [5.2153896579154, 1.1094866903704101, -5.122]
est:  [4.700578173113717, 1.3165487280084365, 0.911363685151926]
act:  [5.300709723036159, 1.0536253756008, -5.117]
est:  [4.820460376472432, 1.4621387118505647, 0.8819350959735711]
act:  [5.379498770450769, 1.000821152213855, -5.119]
est:  [4.942845778277826, 1.6097719870929805, 0.8786312550254102]
act:  [5.45346705474079, 0.9521108563905845, -5.1240000000000006]
est:  [5.066467853124558, 1.7574514164104413, 0.8738407085140512]
act:  [5.522614575906224, 0.9074944881309879, -5.128]
est:  [5.175352847442564, 1.8862871856335888, 0.8691272025555622]
act:  [5.583675825093994, 0.8685005931263978, -5.131]
est:  [5.275234742999571, 2.0089507958898603, 0.8874116007359522]
act:  [5.634240420741808, 0.8371761351586517, -5.128]
est:  [5.315355461556864, 2.05818507026476, 0.8870393814834117]
act:  [5.679129125974253, 0.8094271866640752, -5.136]
est:  [5.315758004869725, 2.058661554833004, 0.8693176825342396]
act:  [5.727956758460325, 0.7828967832407363, -5.154999999999999]
est:  [5.336476546328707, 2.082316986846925, 0.8514867567503356]
act:  [5.778676354418186, 0.7551745433263406, -5.1739999999999995]
est:  [5.33669630315128, 2.0825525014419553, 0.8199961721407569]
act:  [5.845205076550916, 0.7206647022460624, -5.199999999999999]
est:  [5.344624310231087, 2.090800882371255, 0.8052006045505821]
act:  [5.91225221677415, 0.685299733875004, -5.209]
est:  [5.36515088202734, 2.1120007638642617, 0.8015330422124063]
act:  [5.982564865850459, 0.6484062198126135, -5.209]
est:  [5.382412265447235, 2.1296490622219824, 0.7964810228346089]
act:  [6.059071823432641, 0.6070820689862724, -5.215]
est:  [5.406026049388303, 2.153942220499758, 0.7995783378990259]
act:  [6.139180999068174, 0.5656029178498838, -5.214]
est:  [5.414478228657367, 2.1629819005262925, 0.8189726381547845]
act:  [6.235644427549261, 0.510650147531416, -5.186]
est:  [5.498117751625279, 2.256390302283088, 0.8405187375434205]
act:  [6.30976771214933, 0.4655420697614958, -5.154999999999999]
est:  [5.585508542694218, 2.3575101572048256, 0.8580989245976466]
act:  [6.381507323767286, 0.41665006504799673, -5.129]
est:  [5.679382610756686, 2.471497224781732, 0.8818595736434438]
act:  [6.454128771256204, 0.36244558769958557, -5.090999999999999]
est:  [5.703116393850728, 2.5028102940786816, 0.9222257470450279]
act:  [6.53519990850324, 0.29816129175203665, -5.0440000000000005]
est:  [5.703233934714919, 2.5029816043162274, 0.9694407768010675]
